Quarter,Barangay,Mayor_Total_Given_PHP,Share_of_LGU_Budget_%,Mayor_IEC_PHP,Mayor_IEC_%,Mayor_Enf_PHP,Mayor_Enf_%,Mayor_Inc_PHP,Mayor_Inc_%,Municipal_Inspectors_Deployed
1,Brgy Liangan East,31250.00,8.3%,31250.00,100.0%,0.00,0.0%,0.00,0.0%,0
1,Brgy Ezperanza,31250.00,8.3%,31250.00,100.0%,0.00,0.0%,0.00,0.0%,0
1,Brgy Poblacion,187500.00,50.0%,187500.00,100.0%,0.00,0.0%,0.00,0.0%,0
1,Brgy Binuni,31250.00,8.3%,31250.00,100.0%,0.00,0.0%,0.00,0.0%,0
1,Brgy Demologan,31250.00,8.3%,31250.00,100.0%,0.00,0.0%,0.00,0.0%,0
1,Brgy Mati,31250.00,8.3%,31250.00,100.0%,0.00,0.0%,0.00,0.0%,0
1,Brgy Babalaya,31250.00,8.3%,31250.00,100.0%,0.00,0.0%,0.00,0.0%,0
2,Brgy Liangan East,187500.00,50.0%,187500.00,100.0%,0.00,0.0%,0.00,0.0%,0
2,Brgy Ezperanza,31250.00,8.3%,31250.00,100.0%,0.00,0.0%,0.00,0.0%,0
2,Brgy Poblacion,31250.00,8.3%,31250.00,100.0%,0.00,0.0%,0.00,0.0%,0
2,Brgy Binuni,31250.00,8.3%,31250.00,100.0%,0.00,0.0%,0.00,0.0%,0
2,Brgy Demologan,31250.00,8.3%,31250.00,100.0%,0.00,0.0%,0.00,0.0%,0
2,Brgy Mati,31250.00,8.3%,31250.00,100.0%,0.00,0.0%,0.00,0.0%,0
2,Brgy Babalaya,31250.00,8.3%,31250.00,100.0%,0.00,0.0%,0.00,0.0%,0
3,Brgy Liangan East,187500.00,50.0%,187500.00,100.0%,0.00,0.0%,0.00,0.0%,0
3,Brgy Ezperanza,31250.00,8.3%,31250.00,100.0%,0.00,0.0%,0.00,0.0%,0
3,Brgy Poblacion,31250.00,8.3%,31250.00,100.0%,0.00,0.0%,0.00,0.0%,0
3,Brgy Binuni,31250.00,8.3%,31250.00,100.0%,0.00,0.0%,0.00,0.0%,0
3,Brgy Demologan,31250.00,8.3%,31250.00,100.0%,0.00,0.0%,0.00,0.0%,0
3,Brgy Mati,31250.00,8.3%,31250.00,100.0%,0.00,0.0%,0.00,0.0%,0
3,Brgy Babalaya,31250.00,8.3%,31250.00,100.0%,0.00,0.0%,0.00,0.0%,0
4,Brgy Liangan East,187500.00,50.0%,187500.00,100.0%,0.00,0.0%,0.00,0.0%,0
4,Brgy Ezperanza,31250.00,8.3%,31250.00,100.0%,0.00,0.0%,0.00,0.0%,0
4,Brgy Poblacion,31250.00,8.3%,31250.00,100.0%,0.00,0.0%,0.00,0.0%,0
4,Brgy Binuni,31250.00,8.3%,31250.00,100.0%,0.00,0.0%,0.00,0.0%,0
4,Brgy Demologan,31250.00,8.3%,31250.00,100.0%,0.00,0.0%,0.00,0.0%,0
4,Brgy Mati,31250.00,8.3%,31250.00,100.0%,0.00,0.0%,0.00,0.0%,0
4,Brgy Babalaya,31250.00,8.3%,31250.00,100.0%,0.00,0.0%,0.00,0.0%,0
5,Brgy Liangan East,187500.00,50.0%,187500.00,100.0%,0.00,0.0%,0.00,0.0%,0
5,Brgy Ezperanza,31250.00,8.3%,31250.00,100.0%,0.00,0.0%,0.00,0.0%,0
5,Brgy Poblacion,31250.00,8.3%,31250.00,100.0%,0.00,0.0%,0.00,0.0%,0
5,Brgy Binuni,31250.00,8.3%,31250.00,100.0%,0.00,0.0%,0.00,0.0%,0
5,Brgy Demologan,31250.00,8.3%,31250.00,100.0%,0.00,0.0%,0.00,0.0%,0
5,Brgy Mati,31250.00,8.3%,31250.00,100.0%,0.00,0.0%,0.00,0.0%,0
5,Brgy Babalaya,31250.00,8.3%,31250.00,100.0%,0.00,0.0%,0.00,0.0%,0
6,Brgy Liangan East,187500.00,50.0%,187500.00,100.0%,0.00,0.0%,0.00,0.0%,0
6,Brgy Ezperanza,31250.00,8.3%,31250.00,100.0%,0.00,0.0%,0.00,0.0%,0
6,Brgy Poblacion,31250.00,8.3%,31250.00,100.0%,0.00,0.0%,0.00,0.0%,0
6,Brgy Binuni,31250.00,8.3%,31250.00,100.0%,0.00,0.0%,0.00,0.0%,0
6,Brgy Demologan,31250.00,8.3%,31250.00,100.0%,0.00,0.0%,0.00,0.0%,0
6,Brgy Mati,31250.00,8.3%,31250.00,100.0%,0.00,0.0%,0.00,0.0%,0
6,Brgy Babalaya,31250.00,8.3%,31250.00,100.0%,0.00,0.0%,0.00,0.0%,0
7,Brgy Liangan East,187500.00,50.0%,187500.00,100.0%,0.00,0.0%,0.00,0.0%,0
7,Brgy Ezperanza,31250.00,8.3%,31250.00,100.0%,0.00,0.0%,0.00,0.0%,0
7,Brgy Poblacion,31250.00,8.3%,31250.00,100.0%,0.00,0.0%,0.00,0.0%,0
7,Brgy Binuni,31250.00,8.3%,31250.00,100.0%,0.00,0.0%,0.00,0.0%,0
7,Brgy Demologan,31250.00,8.3%,31250.00,100.0%,0.00,0.0%,0.00,0.0%,0
7,Brgy Mati,31250.00,8.3%,31250.00,100.0%,0.00,0.0%,0.00,0.0%,0
7,Brgy Babalaya,31250.00,8.3%,31250.00,100.0%,0.00,0.0%,0.00,0.0%,0
8,Brgy Liangan East,187500.00,50.0%,187500.00,100.0%,0.00,0.0%,0.00,0.0%,0
8,Brgy Ezperanza,31250.00,8.3%,31250.00,100.0%,0.00,0.0%,0.00,0.0%,0
8,Brgy Poblacion,31250.00,8.3%,31250.00,100.0%,0.00,0.0%,0.00,0.0%,0
8,Brgy Binuni,31250.00,8.3%,31250.00,100.0%,0.00,0.0%,0.00,0.0%,0
8,Brgy Demologan,31250.00,8.3%,31250.00,100.0%,0.00,0.0%,0.00,0.0%,0
8,Brgy Mati,31250.00,8.3%,31250.00,100.0%,0.00,0.0%,0.00,0.0%,0
8,Brgy Babalaya,31250.00,8.3%,31250.00,100.0%,0.00,0.0%,0.00,0.0%,0
